,,,Tackles,Tackles,Tackles,Tackles,Tackles,Def Int,Def Int,Def Int,Def Int,Def Int,Fumbles,Fumbles,Fumbles,Fumbles,-additional
Rk,Player,G,Solo,Ast,Tot,Loss,Sk,Int,Yds,Avg,TD,PD,FR,Yds,TD,FF,-9999
1,Jaylan Ford,14,47,54,101,10.5,1.0,2,5,2.5,0,2,1,0,0,1,jaylan-ford-1
2,Anthony Hill Jr.,14,40,27,67,8.0,5.0,,,,,2,,,,1,anthony-hill-jr-1
3,Jahdae Barron,14,32,28,60,4.5,0.0,1,16,16.0,0,6,1,0,0,0,jahdae-barron-1
4,David Gbenda,14,23,27,50,3.5,1.5,,,,,1,,,,,david-gbenda-1
5,Michael Taaffe,14,28,20,48,2.5,0.0,3,45,15.0,0,2,,,,,michael-taaffe-1
6,T'vondre Sweat,14,18,27,45,8.0,2.0,,,,,4,,,,,tvondre-sweat-1
7,Derek Williams Jr.,13,24,18,42,2.0,0.0,,,,,2,,,,,derek-williams-jr-1
8,Ethan Burke,13,21,20,41,9.0,5.5,,,,,,1,0,0,1,ethan-burke-1
9,Jerrin Thompson,14,19,19,38,0.5,0.0,3,59,19.7,1,7,,,,,jerrin-thompson-1
10,Ryan Watts,11,30,8,38,1.0,0.0,,,,,3,,,,,ryan-watts-1
11,Barryn Sorrell,14,17,20,37,4.5,4.0,,,,,,,,,,barryn-sorrell-1
12,Malik Muhammad,14,21,10,31,0.0,0.0,1,0,0.0,0,4,,,,,malik-muhammad-1
13,Byron Murphy II,14,13,16,29,8.5,5.0,,,,,,,,,,byron-murphy-ii-1
14,Kitan Crawford,13,18,6,24,1.0,0.0,1,0,0.0,0,1,,,,,kitan-crawford-1
15,Alfred Collins,14,12,10,22,2.0,2.0,,,,,2,,,,,alfred-collins-1
16,Morice Blackwell Jr.,11,12,9,21,3.0,0.0,,,,,1,1,0,0,0,morice-blackwell-jr-1
17,Terrance Brooks,14,13,7,20,0.0,0.0,3,42,14.0,0,6,,,,,terrance-brooks-2
18,Jett Bush,14,8,9,17,3.0,2.0,1,43,43.0,1,1,1,0,0,0,jett-bush-1
19,Jalen Catalon,8,15,2,17,1.0,0.0,,,,,,,,,1,jalen-catalon-1
20,Vernon Broughton,14,7,10,17,4.5,1.0,,,,,1,1,0,0,0,vernon-broughton-1
21,Gavin Holmes,14,13,3,16,0.0,0.0,,,,,2,,,,,gavin-holmes-2
22,Justice Finkley,14,8,6,14,3.0,2.0,,,,,,,,,1,justice-finkley-1
23,DeAngelo Carter,13,2,7,9,1.5,1.0,,,,,,,,,1,deangelo-carter-1
24,J'Mond Tapp,7,5,3,8,1.5,0.0,,,,,,,,,,jmond-tapp-1
25,Jaylon Guilbeau,7,4,3,7,1.0,0.0,,,,,2,,,,,jaylon-guilbeau-1
26,Liona Lefau,14,3,4,7,0.0,0.0,,,,,,,,,,liona-lefau-1
27,Tre Wisner,14,3,4,7,0.0,0.0,,,,,,,,,,tre-wisner-1
28,Will Stone,14,5,0,5,0.0,0.0,,,,,,,,,,will-stone-1
29,Austin Jordan,12,1,3,4,0.0,0.0,1,0,0.0,0,0,,,,,austin-jordan-1
30,Jaray Bledsoe,8,2,2,4,1.0,0.0,,,,,,1,0,0,0,jaray-bledsoe-1
31,Sydir Mitchell,4,3,0,3,0.0,0.0,,,,,,,,,,sydir-mitchell-1
32,Xavier Worthy,14,2,0,2,0.0,0.0,,,,,,1,0,0,0,xavier-worthy-1
33,Jonathon Brooks,11,2,0,2,0.0,0.0,,,,,,,,,,jonathon-brooks-1
34,Jelani McDonald,12,1,1,2,0.0,0.0,,,,,,,,,,jelani-mcdonald-1
35,Keilan Robinson,13,1,1,2,0.0,0.0,,,,,,,,,,keilan-robinson-1
36,Kelvin Banks Jr.,14,1,0,1,0.0,0.0,,,,,,,,,1,kelvin-banks-jr-1
37,Jordan Whittington,14,1,0,1,0.0,0.0,,,,,,,,,1,jordan-whittington-2
38,Jaydon Blue,14,1,0,1,0.0,0.0,,,,,,,,,,jaydon-blue-1
39,X'Avion Brice,2,1,0,1,0.0,0.0,,,,,1,,,,,xavion-brice-1
40,Aaron Bryant,7,1,0,1,0.0,0.0,,,,,,,,,,aaron-bryant-3
41,Hayden Conner,14,1,0,1,0.0,0.0,,,,,,,,,,hayden-conner-1
42,Gunnar Helm,14,1,0,1,0.0,0.0,,,,,,,,,,gunnar-helm-1
43,Tannahill Love,2,1,0,1,0.0,0.0,,,,,,,,,,tannahill-love-1
44,Kristopher Ross,3,0,1,1,0.0,0.0,,,,,,,,,,kristopher-ross-1
45,Lance St. Louis,14,0,1,1,0.0,0.0,,,,,,,,,,lance-st-louis-1
46,Ky Woods,3,1,0,1,0.0,0.0,,,,,,,,,,ky-woods-1