,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Jonathon Brooks,11,187,1139,6.1,10,25,286,11.4,1,212,1425,6.7,11,jonathon-brooks-1
2,CJ Baxter,13,138,659,4.8,5,24,156,6.5,0,162,815,5.0,5,cj-baxter-1
3,Jaydon Blue,14,65,398,6.1,3,14,135,9.6,1,79,533,6.7,4,jaydon-blue-1
4,Quinn Ewers,12,59,75,1.3,5,1,3,3.0,0,60,78,1.3,5,quinn-ewers-1
5,Savion Red,12,30,131,4.4,1,,,,,30,131,4.4,1,savion-red-1
6,Keilan Robinson,13,12,134,11.2,3,8,56,7.0,0,20,190,9.5,3,keilan-robinson-1
7,Tre Wisner,14,12,73,6.1,1,,,,,12,73,6.1,1,tre-wisner-1
8,Xavier Worthy,14,4,35,8.8,0,75,1014,13.5,5,79,1049,13.3,5,xavier-worthy-1
9,Jordan Whittington,14,3,18,6.0,0,42,505,12.0,1,45,523,11.6,1,jordan-whittington-2
10,Arch Manning,2,3,7,2.3,0,,,,,3,7,2.3,0,arch-manning-1
11,Adonai Mitchell,14,2,1,0.5,0,55,845,15.4,11,57,846,14.8,11,adonai-mitchell-1
12,Ja'Tavion Sanders,14,1,12,12.0,0,45,682,15.2,2,46,694,15.1,2,jatavion-sanders-1
13,Byron Murphy II,14,1,1,1.0,1,1,1,1.0,1,2,2,1.0,2,byron-murphy-ii-1
14,Maalik Murphy,7,1,-18,-18.0,0,,,,,1,-18,-18.0,0,maalik-murphy-1
15,Gunnar Helm,14,,,,,14,192,13.7,2,14,192,13.7,2,gunnar-helm-1
16,Johntay Cook II,14,,,,,8,136,17.0,0,8,136,17.0,0,johntay-cook-ii-1
17,Isaiah Neyor,1,,,,,1,14,14.0,0,1,14,14.0,0,isaiah-neyor-1
18,Casey Cain,7,,,,,1,13,13.0,0,1,13,13.0,0,casey-cain-1
19,Malik Agbo,14,,,,,1,6,6.0,0,1,6,6.0,0,malik-agbo-1
20,T'vondre Sweat,14,,,,,1,2,2.0,1,1,2,2.0,1,tvondre-sweat-1
21,Bert Auburn,14,,,,,1,1,1.0,0,1,1,1.0,0,bert-auburn-1